"","V1","V2","V3","V4"
"1",251.898977475467,251.898977475467,251.898977475467,251.898977475467
"2",251.898977525404,251.898977530404,251.898977535404,251.898977540404
"3",251.898977674965,251.898977694965,251.898977714965,251.898977734965
"4",251.898977923772,251.898977968772,251.898978013772,251.898978058772
"5",251.898978271453,251.898978351453,251.898978431453,251.898978511453
"6",251.898978717633,251.898978842633,251.898978967633,251.898979092633
"7",251.898979261941,251.898979441941,251.898979621941,251.898979801941
"8",251.898979904005,251.898980149005,251.898980394005,251.898980639005
"9",251.898980643455,251.898980963455,251.898981283455,251.898981603455
"10",251.898981479924,251.898981884924,251.898982289924,251.898982694924
"11",251.898982413043,251.898982913043,251.898983413043,251.898983913043
"12",251.898983442445,251.898984047445,251.898984652445,251.898985257445
"13",251.898984567767,251.898985287767,251.898986007767,251.898986727767
"14",251.898985788643,251.898986633643,251.898987478643,251.898988323643
"15",251.898987104712,251.898988084712,251.898989064712,251.898990044712
"16",251.89898851561,251.89898964061,251.89899076561,251.89899189061
"17",251.898990020977,251.898991300977,251.898992580977,251.898993860977
"18",251.898991620455,251.898993065455,251.898994510455,251.898995955455
"19",251.898993313683,251.898994933683,251.898996553683,251.898998173683
"20",251.898995100306,251.898996905306,251.898998710306,251.899000515306
"21",251.898996979967,251.898998979967,251.899000979967,251.899002979967
"22",251.89899895231,251.89900115731,251.89900336231,251.89900556731
"23",251.899001016982,251.899003436982,251.899005856982,251.899008276982
"24",251.899003173631,251.899005818631,251.899008463631,251.899011108631
"25",251.899005421903,251.899008301903,251.899011181903,251.899014061903
"26",251.899007761449,251.899010886449,251.899014011449,251.899017136449
"27",251.899010191919,251.899013571919,251.899016951919,251.899020331919
"28",251.899012712964,251.899016357964,251.899020002964,251.899023647964
"29",251.899015324236,251.899019244236,251.899023164236,251.899027084236
"30",251.899018025391,251.899022230391,251.899026435391,251.899030640391
"31",251.899020816081,251.899025316081,251.899029816081,251.899034316081
"32",251.899023695964,251.899028500964,251.899033305964,251.899038110964
"33",251.899026664695,251.899031784695,251.899036904695,251.899042024695
"34",251.899029721933,251.899035166933,251.899040611933,251.899046056933
"35",251.899032867337,251.899038647337,251.899044427337,251.899050207337
"36",251.899036100566,251.899042225566,251.899048350566,251.899054475566
"37",251.899039421282,251.899045901282,251.899052381282,251.899058861282
"38",251.899042829146,251.899049674146,251.899056519146,251.899063364146
"39",251.899046323823,251.899053543823,251.899060763823,251.899067983823
"40",251.899049904975,251.899057509975,251.899065114975,251.899072719975
"41",251.899053572268,251.899061572268,251.899069572268,251.899077572268
"42",251.899057325368,251.899065730368,251.899074135368,251.899082540368
"43",251.899061163943,251.899069983943,251.899078803943,251.899087623943
"44",251.899065087661,251.899074332661,251.899083577661,251.899092822661
"45",251.89906909619,251.89907877619,251.89908845619,251.89909813619
"46",251.899073189202,251.899083314202,251.899093439202,251.899103564202
"47",251.899077366367,251.899087946367,251.899098526367,251.899109106367
"48",251.899081627358,251.899092672358,251.899103717358,251.899114762358
"49",251.899085971848,251.899097491848,251.899109011848,251.899120531848
"50",251.899090399511,251.899102404511,251.899114409511,251.899126414511
"51",251.899094910022,251.899107410022,251.899119910022,251.899132410022
"52",251.899099503058,251.899112508058,251.899125513058,251.899138518058
"53",251.899104178296,251.899117698296,251.899131218296,251.899144738296
"54",251.899108935414,251.899122980414,251.899137025414,251.899151070414
"55",251.899113774091,251.899128354091,251.899142934091,251.899157514091
"56",251.899118694008,251.899133819008,251.899148944008,251.899164069008
"57",251.899123694844,251.899139374844,251.899155054844,251.899170734844
"58",251.899128776284,251.899145021284,251.899161266284,251.899177511284
"59",251.899133938008,251.899150758008,251.899167578008,251.899184398008
"60",251.899139179703,251.899156584703,251.899173989703,251.899191394703
"61",251.899144501051,251.899162501051,251.899180501051,251.899198501051
"62",251.89914990174,251.89916850674,251.89918711174,251.89920571674
"63",251.899155381456,251.899174601456,251.899193821456,251.899213041456
"64",251.899160939887,251.899180784887,251.899200629887,251.899220474887
"65",251.899166576722,251.899187056722,251.899207536722,251.899228016722
"66",251.899172291649,251.899193416649,251.899214541649,251.899235666649
"67",251.899178084361,251.899199864361,251.899221644361,251.899243424361
